id,name,code,population,latitude,longitude
1,Alabama,AL,4863300,32.785478,-86.725653
2,Alaska,AK,741894,65.622159,-151.223524
4,Arizona,AZ,6931071,33.931242,-111.569519
5,Arkansas,AR,2988248,34.804049,-92.20618
6,California,CA,39250017,36.22478,-119.733944
8,Colorado,CO,5540545,38.987428,-105.5729
9,Connecticut,CT,3576452,41.652104,-72.63556
10,Delaware,DE,952065,38.938315,-75.412999
11,District of Columbia,DC,681170,38.895698,-77.022957
12,Florida,FL,20612439,27.622686,-81.498187
13,Georgia,GA,10310371,32.685826,-83.268552
15,Hawaii,HI,1428557,19.663987,-155.584496
16,Idaho,ID,1683140,43.802322,-114.276519
17,Illinois,IL,12801539,40.42086,-89.089176
18,Indiana,IN,6633053,39.908152,-86.14193
19,Iowa,IA,3134693,42.220549,-93.297741
20,Kansas,KS,2907289,38.328422,-98.23378
21,Kentucky,KY,4436974,37.237368,-84.864248
22,Louisiana,LA,4681666,30.17064,-91.695734
23,Maine,ME,1331479,44.841199,-69.06712
24,Maryland,MD,6016447,39.297559,-76.390341
25,Massachusetts,MA,6811779,42.288707,-72.009225
26,Michigan,MI,9928300,43.4384,-84.675022
27,Minnesota,MN,5519952,45.985921,-94.538541
28,Mississippi,MS,2988726,32.786679,-89.599963
29,Missouri,MO,6093000,38.145754,-92.395878
30,Montana,MT,1042520,46.761129,-109.328143
31,Nebraska,NE,1907116,41.359017,-99.163558
32,Nevada,NV,2940058,39.59014,-116.618424
33,New Hampshire,NH,1334795,43.421163,-71.573245
34,New Jersey,NJ,8944469,39.724724,-74.592362
35,New Mexico,NM,2081015,33.853624,-105.792377
36,New York,NY,19745289,43.000403,-75.020005
37,North Carolina,NC,10146788,35.536228,-78.254165
38,North Dakota,ND,757952,47.180947,-100.124324
39,Ohio,OH,11614373,40.20311,-82.617658
40,Oklahoma,OK,3923561,35.449777,-97.072272
41,Oregon,OR,4093465,43.559732,-120.389902
42,Pennsylvania,PA,12784227,40.62647,-77.708662
44,Rhode Island,RI,1056426,41.622007,-71.573942
45,South Carolina,SC,4961119,33.841132,-80.524531
46,South Dakota,SD,865454,44.520997,-100.014916
47,Tennessee,TN,6651194,35.624269,-86.632318
48,Texas,TX,27862596,31.067357,-98.558029
49,Utah,UT,3051217,38.770462,-111.313737
50,Vermont,VT,624594,44.220197,-72.818505
51,Virginia,VA,8411808,37.397854,-78.242242
53,Washington,WA,7288000,47.11476,-120.107254
54,West Virginia,WV,1831102,38.660299,-80.702711
55,Wisconsin,WI,5778708,44.503388,-89.46216
56,Wyoming,WY,585501,43.146139,-107.325888
